author,date,description,source,text,title,url
Sophie Lewis,2022-08-25T15:02:00.000Z,NASA scientists are gearing up for the world's first mission testing planetary defense — and they want you to watch.,Yahoo News,"NASA scientists are gearing up for the world's first mission , — and they want you to watch.,The space agency's Double Asteroid Redirection Test (,) will test technology to defend Earth against future asteroids and comets by deliberately crashing into an asteroid — which poses no threat to Earth — at some 15,000 mph. The target, a larger asteroid's moonlet named Dimorphos, measures about 525 feet wide.,The goal of the test is to prove that a spacecraft can autonomously navigate to a specific asteroid and purposely crash into it, disintegrating on impact and changing the object's speed and path. Scientists aim to measure that change using telescopes on Earth.,The mission doesn't quite mirror a sci-fi disaster movie like ""Armageddon,"" since it aims to deflect the asteroid rather than destroy it completely.,NASA plans to live stream the entire event on September 26, and it's inviting the public to tune in on its ,, ,, ,, or ,. A , will take place at 6 p.m. ET on ""Impact Day"" from the Johns Hopkins Applied Physics Laboratory in Laurel, Maryland, which builds and manages the DART spacecraft.,Researchers expect the kinetic impact to take place at 7:14 p.m. ET. The space agency is also hosting an , to mark the momentous occasion. ,Scientists launched the small, $330 million probe last fall, sending it to travel nearly seven million miles away from Earth. It's carrying another small spacecraft called LICIACube, which will be released from DART 10 days before impact in an attempt to photograph the collision and resulting debris.,Astronomers currently estimate there are about 25,000 near-Earth asteroids that are 500 feet or larger in size. DART will hopefully provide critical data to aid researchers in preparing for a future asteroid that could have a catastrophic impact on our planet — if they happen to discover one.","How to watch NASA spacecraft crash into asteroid at 15,000 mph",https://news.yahoo.com/watch-nasa-spacecraft-crash-asteroid-150200539.html
Emily Strohm,2022-08-25T16:00:00.000Z,"Christine, who has starred on TLC's reality series about her polygamous family since its inception in 2010, exclusively tells PEOPLE: ""I really believed in...",Yahoo News," never wanted to be someone's one and only. In fact, she wanted a husband that had been married exactly twice.,""I always thought that being the third wife would be the best,"" Christine, 50, says in the latest issue of PEOPLE. ""The first one had all the responsibility of the guy, which is way too much work. Then with the second one, it always seemed like there was a lot of hard times and change, so I'm like, 'No, don't sign me up for that.' Number three just coasts right in the middle. Easy."",Christine got her wish when she wed husband ,, now 53, in 1994 and moved into the tiny Lovell, Wyoming, home he shared with his two wives at the time , and ,. A fourth wife, ,, would eventually join as well.,""I really believed in plural marriage and wanted to live it,"" says Christine who stars on ,, TLC's hit reality series about her polygamous family., Christine Brown,But after more than two decades of marriage, she , from her Mormon fundamentalist faith and the only life she'd ever known in search of happiness.,""As soon as I had the car loaded up and drove down the street, I felt free,"" she tells PEOPLE.  ""It was exciting and new and so scary because I had no idea what to expect, but I remember feeling hope for the first time in a long time because I just got to take my life by my own and go."", Kody Brown (center), surrounded by Meri, Janelle, Christine, and Robyn Brown,Christine moved to Salt Lake City, Utah, in September 2021 and still lives there with daughter ,, 12. (The exes are also parents to son ,, 24, and daughters ,, 27; ,, 26; ,, 20, and ,, 19.),In November 2021, Christine officially , her split from Kody on Instagram., Christine Brown's kids,Since their split Christine has settled into her new life and launched her solo digital series , for TLC in February (season 2 premieres Sept. 11).,""I'm infinitely stronger than I ever was before. Happier. Oh my gosh, in my soul, I feel so light and easy and powerful,"" she tells PEOPLE. ""I absolutely love it every day."",Season 17 of , premieres Sept. 11 at 10 p.m. ET on TLC.",Sister Wives ' Christine Brown Always Wanted to Be Wife No. 3 in Polygamous Marriage: 'It Seemed Easiest',https://news.yahoo.com/sister-wives-christine-brown-always-160000016.html
Briana Ross-Williams,2022-08-25T22:33:01.000Z,A Jacksonville woman found guilty of vehicular homicide was sentenced to eight years in prison on Monday.,Yahoo News,"A Jacksonville woman found guilty of vehicular homicide was sentenced to eight years in prison on Monday.,The sentencing comes after Ana Jimenez was involved in a crash that left one person dead on April 11, 2019.,On that day, Jimenez told police that someone in a gray Chevrolet Suburban hit her white Honda Civic on the Buckman Bridge and she was hurt. That person was later identified as James Robinson.,Jimenez then followed Robinson and they got off San Jose Boulevard, where she tried blocking him in a nearby parking lot. She continued to follow Robinson back onto the Buckman Bridge where she chased him, cut him off, switched lanes and swerved into him against the barrier wall, witnesses said.,As the two drivers made their way to Highway 17, another witness said the two vehicles continued to collide with each other. Robinson eventually lost control as he tried changing lanes, veering off the road into oncoming traffic when he was killed.,Investigators said six total cars were involved, but the other drivers and passengers survived. The Florida Highway Patrol said the incident was caused by road rage.,Jimenez will serve seven years of probation following completion of her eight-year sentence.",Woman involved in deadly Jacksonville road rage incident sentenced to 8 years in prison,https://news.yahoo.com/woman-involved-deadly-jacksonville-road-223301174.html
Mitchell Willetts,2022-08-25T18:36:10.000Z,"One died at the scene, and the other was taken to a hospital, police said.",Yahoo News,"An argument between , ended with both men shooting each other, Texas police told news outlets.,It happened around 7 p.m. Wednesday, Aug. 24, San Antonio police said in a release.,Officers responded to an address on Twining Drive, a residential street on the city’s southwest side, and found two men with gunshot wounds.,The men, ages 37 and 41, had gotten into an “unknown dispute,” police said. At some point, one pulled out a gun and shot the other, who then fired back.,Police identified the men as ,, TV station WOAI reported.,Nobody saw the shooting, but neighbors heard gunfire, police told the outlet.,Officers performed live-saving efforts on one of the brothers, but he died at the scene, the SAPD said. The other was taken to a hospital in stable condition.,An investigation is underway, police said.","Arguing brothers pull out guns and shoot each other, Texas cops say. One was killed",https://news.yahoo.com/arguing-brothers-pull-guns-shoot-183610483.html
Nathan Frandino,2022-08-25T10:03:34.000Z,"California is about to launch an experiment to cover aqueducts with solar panels, a plan that if scaled up might save billions of gallons of otherwise...",Yahoo News,"By Nathan Frandino,HICKMAN, Calif. (Reuters) - California is about to launch an experiment to cover aqueducts with solar panels, a plan that if scaled up might save billions of gallons of otherwise evaporated water while powering millions of homes.,Project Nexus in the Turlock Irrigation District launches in mid-October amid Western North America's worst drought in 1,200 years and as human-influenced climate change exacerbates the dry spell.,The $20 million project, funded by the state, is due to break ground in two locations. One is a 500-foot (152-meter or about 0.3-mile) span along a curved portion of the canal in the town of Hickman, about 100 miles (160 km) inland from San Francisco. The other is a mile-long (1.6-km long) straightaway in nearby Ceres.,Based on a similar project in the west Indian state of Gujarat, the project is the first of its kind in the United States, said University of California Merced project scientist Brandi McKuin. The Turlock project was inspired by a research paper McKuin published in 2021.,Modern California was built thanks to 20th century infrastructure that delivers water from the wet north to the arid south, a network McKuin said now totals 4,000 miles (6,400 km) of canals.,Covering those canals with solar panels would reduce evaporation, avoid using other land for solar farms and reduce aquatic weed and algae growth, saving on maintenance costs, McKuin said.,""It's really exciting to test our hypothesis and the paper we published. We'll have an opportunity to really understand if those benefits pencil out in the real world,"" McKuin said.,It would also help California meet its renewable energy goal of achieving 50% clean energy generation by 2025 and 60% by 2030.,If all 4,000 miles of canals were covered with solar panels, it could produce 13 gigawatts of renewable capacity, roughly half of what California needs to meet its carbon-free energy goals, she said.,A gigawatt, or 1 billion watts, is enough to power 750,000 homes.,McKuin's research also calculated water savings of 63 billion gallons (238 million cubic meters), enough to supply 2 million people and irrigate 50,000 acres (20,000 hectares) of cropland.,Like other utilities throughout the state, Turlock Irrigation District Water & Power is required to expand its renewable energy capacity.,""If this is something that works on these first two miles of Project Nexus that we're doing, there's the potential that this could scale to multiple locations,"" said Josh Weimer, Turlock Water & Power's external affairs manager.,(Reporting by Nathan Frandino; Writing by Daniel Trotta; Editing by Donna Bryson and Mark Porter)","California to cover canal with solar panels in experiment to fight drought, climate change",https://news.yahoo.com/california-cover-canal-solar-panels-100334990.html
Kalyn Womack,2022-08-25T14:03:01.000Z,"I know that police arrest Black people for anything these days but this is just outrageous. A Childersburg, Ala. pastor was arrested while watering his...",Yahoo News,"I know that police arrest Black people for anything these days but this is just ,. A Childersburg, Ala. pastor was , while watering his neighbor’s flowers, according to ,. Per the video footage, several witnesses confirmed he was supposed to be there but the officers , to remove his handcuffs.,Pastor Michael Jennings of Vision of Abundant Life Ministries, returned home from service one Sunday in May and went to water his neighbor’s plants. That’s when someone , on him, claiming an unfamiliar SUV was parked outside the neighbor’s house and that an unknown man was lurking on the property. Per the ,, the officers approached Jennings asking him what he was doing at the house.,Read more,“Watering flowers,” Jennings responded. “I’m supposed to be here. I’m Pastor Jennings. I live across the street. I’m looking out for their house while they’re gone.”,Read how the situation escalated from ,:,According to the report, Jennings’ family also arrived to confirm his identity but the officers took him , and charged him with obstruction of government operation, which was dropped a month later. Now, the pastor is preparing a , against the police department.,Let’s just call a spade a spade. Jennings was racially profiled. For most states, you are not required to provide identification unless an officer has probable cause to believe you’re up to something criminal. The pastor was , watering flowers.,This situation is also about who called the police on him in the first place. If you see something, yes, say something. However, a Black man watering plants is far from a threat to society.,“It represents an abuse of police powers. It represents racial profiling and it represents law-enforcement officers intimidating a person who actually understands and knows their rights,” said Harry Daniels, Jennings’ attorney.",Police Arrest Alabama Pastor for ( No Joke) Watering Flowers,https://news.yahoo.com/police-arrest-alabama-pastor-no-140301444.html
KOCO - Oklahoma City Videos,2022-08-25T16:00:11.000Z,Family of Oklahoma man killed by James Coddington ‘can finally move on’,Yahoo News,Family of Oklahoma man killed by James Coddington ‘can finally move on’,Family of Oklahoma man killed by James Coddington ‘can finally move on’,https://news.yahoo.com/family-oklahoma-man-killed-james-160011738.html
David Shepardson,2022-08-25T17:54:18.000Z,WASHINGTON (Reuters) -Global shipping container suppliers China International Marine Containers and Maersk Container Industry in a joint statement on...,Yahoo News,"By David Shepardson,WASHINGTON (Reuters) -Global shipping container suppliers China International Marine Containers and Maersk Container Industry in a joint statement on Thursday said they have abandoned a merger plan, citing significant regulatory challenges.,China International Marine Containers (CIMC) in September had agreed to buy the Danish shipping company AP Moeller - Maersk's refrigerated containers maker for $987.3 million.,The U.S. Justice Department said the deal would have combined two of the world's four suppliers of refrigerated shipping containers and further concentrated the global cold supply chain.,The Justice Department said it ""would also have consolidated control of over 90% of insulated container box and refrigerated shipping container production worldwide in Chinese state-owned or state-controlled entities."",Assistant Attorney General Jonathan Kanter, who heads the Justice Department’s antitrust division, said the acquisition could have led to ""higher prices, lower quality, and less resiliency in global supply chains"" and ""would have cemented CIMC’s dominant position in an already consolidated industry and eliminated MCI as an innovative, independent competitor."",Germany's Federal Cartel Office said in December it also had opened an investigation into the effects the takeover of Maersk Container Industry (MCI) by CIMC could have on markets.,Maersk said it was ""unfortunate"" the deal would not move forward, adding it ""will now assess the best structural set-up to ensure the long-term development of the business."",Founded by Maersk in 1991, MCI employs 2,300 people in China and Denmark.,(Reporting by David ShepardsonEditing by Bill Berkrot)",Shipping container suppliers abandon $987 million deal after U.S. probe,https://news.yahoo.com/shipping-container-suppliers-abandon-merger-175418285.html
Charlie Mason,2022-08-25T16:11:18.000Z,"What’s in a name? Quite a lot, apparently. Five months after AMC announced that its Manhattan-set Walking Dead spinoff would be called Isle of the Dead, the ...",Yahoo News,"What’s in a name? Quite a lot, apparently. Five months after AMC announced that its Manhattan-set , spinoff would be called ,, the show has gotten a new title. And it is… ? Drumroll, please. ,, per ,.,As ,, the next offshoot of the long-running zombie drama will follow all the way to New York Lauren Cohan’s embattled Maggie and Jeffrey Dean Morgan’s Negan, the reformed villain who brutally murdered her husband before her eyes. Cut off from the mainland for ages, “the crumbling city,” the network teased, “is filled with the dead and denizens who have made New York City their own world full of anarchy, danger, beauty and terror.”, writer/executive producer Eli Journé has been tapped to act as showrunner on the new series, which is being overseen by the franchise’s chief content officer Scott M. Gimple with both of its leads pulling double duty as EPs. , is set to premiere in 2023, after the mother ship completes its 11-season run. (The first of the last eight episodes of , premieres on Sunday, Oct. 2, at 9/8c).,As ,-heads are no doubt well aware, AMC also has in the works an as-yet-untitled Daryl-,-centric spinoff starring Norman Reedus and a limited series that will wrap up the story of Andrew Lincoln’s Rick and Danai Gurira’s Michonne.,Launch Gallery: ,: Follow us on ,, ,, ",Isle Be! Walking Dead Spinoff Focused on Negan and Maggie Gets a New Title,https://news.yahoo.com/isle-walking-dead-spinoff-focused-161118936.html
The New Voice of Ukraine,2022-08-25T12:31:00.000Z,"Six months ago, Russia launched a full-scale invasion of Ukraine. Since then, Russia has occupied 13% more of the country, killed thousands of Ukrainians...",Yahoo News,"Russian soldiers have committed unspeakable war crimes and thousands of Ukrainian children have been forcibly relocated to Russia. One-third of Ukrainians have ,, sparking the largest refugee crisis since World War II.,Back in February, I was one of the few analysts who , Moscow to invade. Most remained skeptical in spite of Washington’s full-throated insistence and intelligence that an invasion was looming. The first six months of the war have continued to challenge assumptions. These are the six biggest surprises to me. ,Diplomacy failed, US threats flopped (US President Joe Biden even , outlining the US response to an invasion), and a beefed-up NATO presence in Eastern Europe before the invasion did nothing. The international system is now failing Ukraine in seeking justice for war crimes and restitution for billions in damage. Even after six months of war, the West has nothing real to offer Ukraine in terms of permanent security guarantees. ,The Russian army has a long history of brutal violence, but it seemed unthinkable that soldiers would engage in the mass rape, torture and killing of civilians whom the Russian regime officially considers their Slavic brothers. And yet this is exactly what they did in towns and villages on the outskirts of Kyiv. Russia’s deliberate bombing of a theater in Mariupol that was known to be sheltering women and children defies belief.,As Andrii Osadchuk, a Ukrainian MP with the Holos party recently reminded me, it previously seemed unthinkable that the Russian army would eliminate Russian-speaking village after village in southeastern Ukraine, thereby destroying its own political stronghold in the country. Russia’s actions in southeast Ukraine alone expose the myth of Slavic brotherhood., ,President Biden didn’t ask the American public to do anything beyond pay higher prices at the pump. He has done a ton for Ukraine, and he and his team deserve huge credit for many things, but messaging to the public isn’t one of them., for elites in the , explaining what the US will and will not do in Ukraine isn’t enough. It’s not quite as bad as when President George W. Bush told the American public to go shopping after 9/11, but Biden’s inattention to messaging to the American public doesn’t get high marks.,Russia’s war in Ukraine will be long and drawn out. The outcome of the war depends on how long the West will sustain the effort with weapons and financial support. It all hinges on public opinion in the end. The lack of public messaging during the first six months of the war is a shame because Biden has an extraordinary gift for connecting with average people and fervently believes in the cause of freedom.,Less than a year ago, Ukrainian President Volodymyr Zelenskyy came to Washington for a visit. I , why he bothered with no real achievements to show. He was trying to boost investment in Ukraine without engaging in the real work of reform. In his first two years in office (2019-2021), he showed little interest in the often boring and complicated details of policy, opting instead for quick fixes. Rather than overhaul the courts, he flirted with the idea of investment nannies who would help Western businesses if they encountered any problems with Ukraine’s notorious law enforcement and legal systems.,He began the war by rejecting overtures to leave Kyiv and govern from western Ukraine or Poland. He has since inspired the world with his personal heroism and courage while brow beating Western governments to do more and explaining to the world the price of freedom.,As a war leader, Zelenskyy has a reputation for respecting his generals and leaving the big strategic decisions up to them. He has also become a staunch defender of Ukraine. During his 2019 presidential election campaign, many people questioned Zelenskyy’s patriotism and commitment to Ukraine. Up until February 24, he showed willingness to compromise and negotiate to end the war. No longer.,The Kremlin never understood how much Ukraine fundamentally changed since the country’s 2014 Euromaidan Revolution. Moscow failed to grasp that the reforms put in place over the past eight years were genuine, however haltingly they were implemented. This was especially true in terms of military reforms.,As Daniel Szeligowski at the Polish Institute of International Affairs ,, Russians completely misinterpreted polling data from Ukraine showing that Ukrainians disliked their political authorities but trusted the country’s military. This led to the disastrous conclusion in Moscow that if Russia could wipe out the Ukrainian military, Ukrainians would be glad to accept new leaders. How wrong they were.,Ukraine is not a failed state. Six months after the start of the Russian invasion, Ukraine’s banking system continues to work. Ukraine pays public sector workers on time. Hospitals and schools still function. The state railway moved millions of Ukrainians out of harm’s way. Central election data was closed and moved abroad to protect it from Russian hackers. Government ministries partnered with volunteers to deliver humanitarian goods and medicine across the country. Ukraine’s weak state institutions have proved surprisingly durable during war., ,What surprised you the most? We would love to know.,Read the original article on ",Russia’s war in Ukraine: Six surprises six months in,https://news.yahoo.com/russia-war-ukraine-six-surprises-123100584.html
BuzzFeed,2022-08-24T21:51:03.000Z,"Samuel L. Jackson likes to collect action figures of his characters, and I just love that.View Entire Post ›",Yahoo News,,"Lots Of Celebrities Have Jaw-Dropping ""Personal Life"" Sections On Wikipedia — But I Wanna Know The Best",https://news.yahoo.com/whats-most-interesting-celebrity-wikipedia-215103819.html
Erik Larson,2022-08-24T13:57:18.000Z,(Bloomberg) -- Senator Lindsey Graham renewed his effort to convince a federal judge that phone calls he made to Georgia’s top election official after Donald...,Yahoo News,"(Bloomberg) -- Senator Lindsey Graham renewed his effort to convince a federal judge that phone calls he made to Georgia’s top election official after Donald Trump lost the 2020 presidential contest were just part of his job.,Most Read from Bloomberg,The South Carolina Republican is seeking to avoid or limit his testimony before a Georgia grand jury investigating efforts by Trump and his allies to overturn his loss in the key swing state. On Wednesday, Graham filed a brief in court expanding on his argument that two calls he made to Georgia Secretary of State Brad Raffensperger after the election are protected by the US Constitution’s Speech or Debate Clause.,“The Constitution guarantees that a Senator ‘shall not be questioned’ about his protected ‘Speech or Debate’ -- and yet the District Attorney insists that Senator Graham must submit to questioning to ascertain whether he can be questioned or is immune from questioning,” Graham’s lawyer, Brian Lea of Jones Day, said in the filing. “That makes no sense.”,Fulton County District Attorney Fani Willis has argued that Graham’s testimony about the calls is crucial to the ongoing investigation and involves conduct that is beyond general protections shielding members of Congress from having to testify about their legislative activities.,Graham hasn’t been accused of wrongdoing.,US District Judge Leigh Martin May rejected that argument earlier this month, denying Graham’s motion to quash a subpoena and ordering him to testify. But an appeals court put the ruling on hold and referred the case back to May for additional arguments on whether the clause applies to his calls.,Raffensperger, who is also a Republican, has said the senator appeared to suggest in the calls that certain mail-in ballots could be discarded.,Willis has until Aug. 29 to respond to Graham’s filing. A phone call to her media line wasn’t picked up.,Graham argued in the filing that the phone calls were part of his broader investigation into the 2020 election to inform his vote under the Electoral Count Act. The senator, who ultimately voted to confirm President Joe Biden’s victory, said the phone calls also helped inform proposed legislation, making them “quintessentially protected legislative activity.”,Graham “had a right and duty to run down” allegations of voter fraud before deciding whether to certify Biden, he said.,(Updates with detail from the senator’s filing.),Most Read from Bloomberg Businessweek,©2022 Bloomberg L.P.",Lindsey Graham Makes Fresh Case for Avoiding Georgia Election Testimony,https://news.yahoo.com/lindsey-graham-makes-fresh-case-135718580.html
Rory Sullivan,2022-08-24T07:02:31.000Z,National holiday comes nears six-month mark,Yahoo News,"Kyiv has warned that Russia could be planning to ramp up its attacks to coincide with Ukrainian Independence Day.,Ukrainian president Volodymyr Zelensky said the Kremlin could try “something particularly ugly” around the national holiday, which coincides with the war’s six-month milestone on Wednesday.,The US also indicated that Russia is planning to scale up its aerial assaults this week, with its embassy in Kyiv telling American citizens to leave the Ukrainian capital if they can.,“The Department of State has information that Russia is stepping up efforts to launch strikes against Ukraine’s civilian infrastructure and government facilities in the coming days,” it said on its website.,This comes as the UN secretary general told countries to stop “nuclear sabre-rattling”.,Speaking on Monday, , said the world faced a ""maximum moment of danger"", adding that ""humanity’s future is in our hands today”.,Recent shelling around the , nuclear power facility, which is currently in Russian-held territory, has raised fears of a potential catastrophe there. Both sides have accused the other of endangering the site’s safety., , ,Good morning, and welcome to ,live coverage of the Ukraine war., , ,The threat of a nuclear catastropher is at its “highest point in decades”, UN secretary general Antonio Guterres has said.,With the globe at a “maximum moment of danger”, countries should refrain from “nuclear sabre-rattling”, he added.,His warning comes as fears remain over shelling close to Ukraine’s Zaporizhzhia nuclear power plant, which is now in Russian-held territory.,Both sides have blamed the other for threatening the safety of the site.,Alexander Lifirenko, a resident in nearby Enerhodar, expressed his community’s fears.,""Of course, we are worried...It’s like sitting on a powder keg,"" he told ,., , ,The US has said the Kremlin is planning to carry out attacks against civilian buildings in Ukraine in the coming days.,The alleged threat comes ahead of Ukrainian Independence Day on Wednesday.,The US embassy in Kyiv has warned its citizens to leave the capital if they can.,""The Department of State has information that Russia is stepping up efforts to launch strikes against Ukraine’s civilian infrastructure and government facilities in the coming days,"" it said on its website., , ,A Russian paratrooper who fought in Ukraine earlier this year has hit out at the Kremlin, saying the justification for its invasion is a “lie”.,Pavel Filatyev, who served in the 56th air assault regiment, recently published a 141-page damning account of his experiences on the frontline.,Speaking from an undisclosed location, he told CNN: “We were dragged into this serious conflict where we’re just destroying towns and not actually liberating anyone. All of that’s a lie. We’re simply destroying peaceful lives.”, , ,Polish president Andrzej Duda is in Kyiv to discuss military and economic support for Ukraine.,He has already met his Ukrainian counterpart Volodymyr Zelensky three times in Ukraine this year.,“The visit will include a meeting with president Zelensky and talks on military support and defence of Ukraine in the economic, humanitarian and political sense,” Mr Duda’s office said of the latest trip.,“The presidents will discuss the political support Poland could offer to convince other countries to keep helping Ukraine,” it added.,Poland has been one of Kyiv’s closest allies since Russia invaded Ukraine on 24 February., , ,Russia is building a floating bridge over the Dnipro after Ukraine destroyed the river crossing, the British Ministry of Defence (MoD) has said.,In its latest update, the MoD said Moscow had moved barges into position beside the damaged Antonivsky road bridge. The crossing connects the Russian-held city of Kherson to the east.,If successful, the move “will almost certainly increase the capacity of the crossing point compared to the ferry”, it added., , ,At least 374 children have been killed in Russian attacks since the war started 6 months ago, Ukraine’s prosecutor general’s office has said.,Another 723 children have been injured by the Kremlin’s forces assaults, it said.,The office added that the true number of casualties is likely to be much higher, as the current total does not include victims in Russian-held areas., , ,The European countries bordering Russia could stop Russian tourists from entering their borders if the bloc does not introduce an EU-wide ban, Lithuania has said.,Estonia, Finland Latvia, Lithuania and Poland and Finland all have a border with Russia.,“I have talked to ministers from all these countries... I don’t see many differences politically,” Lithuanian foreign minister Gabrielius Landsbergis said in Vilnius.,“Russian tourists shouldn’t be in the European Union...Their country is undertaking genocide,” he added., , ,Around 720,000 tonnes of grain have left Ukraine in the past month on 33 cargo ships, the Ukrainian agriculture ministry has said.,Trade ships have been able to leave Ukraine under an agreement signed with Russia on 22 July. Moscow’s blockade of Ukraine’s ports previously made this impossible, driving up food prices.,A further 18 vessels are awaiting permission to leave three Ukrainian ports, according to Kyiv.,The agriculture ministry added that its overall grain exports could reach four million tonnes in August, one million more than in July., , ,Ukraine has threatened to respond powerfully if Russian troops carry out attacks to coincide with Ukrainian independence day.,“If they hit us, they will receive a response, a powerful response,” Ukrainian president Volodymyr Zelensky said. “I want to say that each day...this response will grow, it will get stronger and stronger.”,The US has urged its citizens to leave Kyiv as a precaution, as Washington believes Moscow may target the Ukrainian capital., , ,The UN has expressed its concern over Russian-backed separatists’ plans to try Ukrainian prisoners in Mariupol.,The organisation’s human rights office said the process could be a war crime.,Ravina Shamdasani, who works for the Office of the U.N. High Commissioner for Human Rights (OHCHR), said: “We are very concerned about the manner in which this is being done.,“There are pictures in the media of cages being built in Mariupol’s philharmonic hall, really massive cages and apparently the idea is to restrain the prisoners,” she added.,“This is not acceptable, this is humiliating.”, , ,Ukrainian President Volodymyr Zelenskiy has said his country will take back power in Crimea, which Russia annexed in 2014.,“To overcome terror, it is necessary to gain victory in the fight against Russian aggression. It is necessary to liberate Crimea. This will be the resuscitation of world law and order,” he told the Crimea Platform summit on Tuesday., , ,Britain will never recognise Russia’s claim over Crimea, the peninsula Moscow annexed from Ukraine eight years ago, Boris Johnson has said.,Addressing a conference hosted by Ukraine, the UK prime minister said: “We will never recognise Russia’s annexation of Crimea or any other Ukrainian territory.”,“In the face of Putin’s assault we must continue to give our Ukrainian friends all the military, humanitarian, economic and diplomatic support that they need until Russia ends this hideous war and withdraws its forces from the entirety of Ukraine,” he added., , ,Slovakia is set to deliver 30 tracked infantry fighting BVP-1 vehicles to Ukraine, its defence minister has said.,Jaroslav Nad confirmed the move on Tuesday, saying Slovakia will receive 15 Leopard tanks from Germany in return.,The deal also involved ammunition, spare parts and complex training, he added.,Bratislava has also suggested it could give Kyiv its Soviet-era MiG-29 fighter jets., , ,Here are some photos taken on the eve of Ukrainian Independence Day:, , ,Almost 18 million people need assistance in Ukraine, including some communities who have not received any humanitarian support since February, the Norwegian Refugee Council (NRC) has said.,Referring to these vulnerable people, Roberto Vila-Sexto, the organisation’s country director, said: “Their situation will further deteriorate with the onset of winter. Housing and fuel shortages will exacerbate the impact of displacement and insecurity, particularly in areas with widespread infrastructure damage.”,“Although refugee returns to Ukraine have significantly increased, over 1.5 million people have also left the country in the last month alone. Access to humanitarian aid across the country and long-term support to displaced people, including those who choose to return, needs to be prioritised from now on.,“Investment in housing and reconstruction, as well as compensation and reparation schemes inside Ukraine must remain on the donors’ agenda to ensure the people of Ukraine remain protected amidst an uncertain future.”, , ,A $75-million (£63.7m) yacht linked to a Russian oligarch has reportedly been auctioned in Gibraltar, the first sale of its kind since the Russian invasion of Ukraine.,The Gibraltar Admiralty Court said closed bids for the Axioma, which was seized in March, had to be sent electronically before midday.,The vessel is thought to be connected to Russian steel billionaire Dmitry Pumpyansky., , ,Canada has sanctioned 62 more people and a defence company over the Kremlin’s invasion of Ukraine, Justin Trudeau has said.,The Canadian prime minister said the individuals included high-ranking Russian officials and their family members., , ,Polish president Andrzej Duda has said his country will support Ukraine until “the last day of the fight”.,Speaking in Kyiv, he also spoke of how Crimea must be liberated from Russian control.,“Crimea is and will be a part of Ukraine, just like Gdansk and Lublin are part of Poland,” he said., , ,We’re ending our coverage of the conflict in Ukraine for the day, but keep reading , for all the latest updates.",Ukraine war news - latest: Kyiv warns of increased Russian attacks around Independence Day,https://news.yahoo.com/ukraine-war-news-live-kyiv-111556151.html
WFTV,2022-08-24T10:25:51.000Z,Millions of people are hoping to hear that a big chunk of their student loan debt will be wiped away.,Yahoo News,Millions of people are hoping to hear that a big chunk of their student loan debt will be wiped away.,Video: Biden expected to announce partial student loan debt cancellation,https://news.yahoo.com/video-biden-expected-announce-partial-102551173.html
WPTV- West Palm Beach Scripps,2022-08-26T03:15:39.000Z,Many questions may soon be answered in the FBI search of former President Donald Trump's Mar-a-Lago estate.,Yahoo News,Many questions may soon be answered in the FBI search of former President Donald Trump's Mar-a-Lago estate.,Judge to decide redactions on Mar-a-Lago search warrant affidavit,https://news.yahoo.com/judge-decide-redactions-mar-lago-031539655.html
